service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4,1,0,0,0,0,1,1,20160101,20161231
5,1,1,1,0,1,1,0,20160101,20161231
6,1,1,1,1,1,1,1,20160101,20161231
7,0,0,0,0,0,1,1,20160101,20161231
8,1,1,1,1,1,0,0,20160101,20161231
9,1,1,1,1,1,1,1,20160101,20161231
10,1,1,1,1,1,0,0,20160101,20161231
11,1,1,1,1,1,1,1,20160101,20161231
12,1,1,1,1,1,0,0,20160101,20161231
13,1,1,1,1,1,0,0,20160101,20161231
